iter	Passed	Remaining
156	266	1431
157	267	1425
158	269	1423
159	270	1421
160	272	1417
161	273	1413
162	273	1406
163	275	1404
164	277	1403
165	278	1401
166	279	1395
167	280	1390
168	281	1385
169	283	1383
170	284	1378
171	286	1378
172	287	1372
173	288	1369
174	290	1367
175	291	1366
176	292	1361
177	294	1359
178	295	1356
179	297	1353
180	298	1351
181	300	1350
182	301	1344
183	302	1341
184	302	1334
185	304	1331
186	305	1330
187	307	1329
188	308	1323
189	309	1317
190	309	1311
191	310	1308
192	311	1302
193	312	1299
194	314	1298
195	316	1297
196	317	1295
197	318	1289
198	319	1287
199	321	1287
200	323	1284
201	323	1278
202	324	1275
203	326	1273
204	327	1269
205	328	1264
206	328	1259
207	329	1255
208	330	1251
209	331	1246
210	332	1245
211	333	1239
212	334	1234
213	335	1233
214	337	1232
215	338	1228
216	338	1223
217	340	1220
218	340	1215
219	342	1213
220	343	1210
221	345	1210
222	346	1208
223	347	1203
224	348	1200
225	350	1200
226	351	1197
227	352	1194
228	354	1192
229	355	1189
230	356	1187
231	357	1183
232	359	1183
233	361	1182
234	362	1178
235	363	1176
236	364	1174
237	366	1172
238	368	1172
239	368	1167
240	369	1162
241	370	1160
242	371	1157
243	372	1153
244	374	1153
245	374	1148
246	376	1147
247	377	1143
248	378	1141
249	379	1139
250	380	1135
251	382	1134
252	383	1132
253	384	1128
254	385	1126
255	387	1125
256	388	1124
257	390	1123
258	392	1122
259	393	1120
260	394	1116
261	395	1114
262	396	1112
263	398	1111
264	399	1108
265	400	1105
266	401	1101
267	402	1099
268	404	1100
269	406	1098
270	407	1096
271	408	1092
272	409	1090
273	410	1088
274	412	1087
275	413	1085
276	415	1083
277	416	1080
278	419	1083
279	427	1098
280	429	1098
281	430	1096
282	432	1095
283	432	1091
284	434	1090
285	436	1089
286	437	1087
287	439	1085
288	440	1083
289	442	1082
290	442	1079
291	444	1077
292	445	1075
293	446	1073
294	449	1074
295	451	1072
296	452	1071
297	453	1069
298	455	1067
299	457	1067
300	459	1066
301	460	1064
302	461	1062
303	463	1061
304	465	1060
305	467	1059
306	468	1057
307	469	1055
308	471	1054
309	473	1053
310	474	1051
311	476	1049
312	477	1047
313	479	1046
314	481	1046
315	482	1044
316	483	1041
317	484	1039
318	486	1037
319	487	1036
320	489	1035
321	491	1033
322	492	1031
323	493	1030
324	495	1028
325	496	1027
326	498	1024
327	499	1023
328	500	1021
329	502	1019
330	503	1018
331	505	1016
332	506	1014
333	507	1012
334	509	1011
335	510	1009
336	511	1007
337	513	1005
338	514	1003
339	516	1001
340	517	1000
341	519	998
342	520	996
343	521	995
344	523	993
345	524	991
346	526	990
347	527	988
348	529	986
349	530	985
350	532	983
351	533	982
352	535	981
353	536	978
354	537	977
355	539	976
356	541	975
357	543	974
358	544	972
359	546	970
360	547	969
361	549	968
362	556	976
363	558	975
364	559	973
365	560	971
366	562	970
367	564	968
368	565	967
369	567	965
370	568	963
371	570	962
372	572	961
373	574	960
374	575	958
375	576	956
376	577	954
377	580	954
378	581	953
379	583	951
380	584	949
381	586	948
382	588	947
383	589	945
384	590	943
385	592	941
386	594	941
387	595	940
388	597	938
389	598	936
390	600	934
391	601	933
392	603	932
393	605	930
394	606	928
395	607	926
396	609	926
397	611	924
398	612	923
399	613	920
400	615	919
401	617	918
402	619	917
403	620	915
404	622	913
405	624	913
406	626	912
407	627	910
408	628	908
409	630	906
410	631	905
411	633	904
412	634	902
413	636	900
414	637	898
415	638	896
416	640	895
417	642	894
418	643	892
419	644	889
420	645	888
421	647	886
422	649	885
423	650	883
424	651	881
425	653	879
426	654	878
427	656	877
428	657	875
429	658	873
430	660	871
431	661	869
432	663	868
433	664	866
434	665	864
435	667	862
436	668	861
437	670	860
438	672	858
439	673	857
440	674	854
441	675	853
442	677	852
443	679	850
444	680	848
445	681	847
446	683	845
447	684	843
448	686	842
449	687	840
450	689	838
451	690	836
452	693	836
453	694	835
454	696	833
455	697	831
456	698	829
457	700	828
458	701	827
459	703	825
460	704	823
461	705	821
462	707	820
463	708	819
464	710	817
465	711	815
466	712	813
467	714	811
468	715	810
469	717	808
470	718	807
471	719	805
472	721	803
473	723	803
